"compounds","name","formula","minFlux","maxFlux","concentration"
"cpd00149","Co2+",-18.215208617039,-92,4,0.001
"cpd00099","Cl-",-34.9519941955805,-67,59,0.001
"cpd00067","H+",-39.1217632917687,-99,45,0.001
"cpd00063","Ca2+",-30.7491610292345,-74,6,0.001
"cpd00058","Cu2+",-51.2255072593689,-80,92,0.001
"cpd00048","Sulfate",-80.0927140749991,-69,57,0.001
"cpd00034","Zn2+",-53.8040572311729,-41,6,0.001
"cpd00030","Mn2+",-61.5523205138743,-32,76,0.001
"cpd00013","NH3",-46.0513414116576,-100,55,0.001
"cpd00009","Phosphate",-2.72442132700235,-98,89,0.001
"cpd00001","H2O",-57.7415168518201,-29,56,0.001
"cpd00007","O2",-33.0999584402889,-50,78,0.001
"cpd00205","K+",-69.4771339418367,-91,68,0.001
"cpd00254","Mg",-33.002691459842,-57,37,0.001
"cpd00971","Na+",-2.34610978513956,-93,78,0.001
"cpd10515","Fe+2",-56.9048840552568,-37,63,0.001
"cpd10516","Fe+3",-84.9049428477883,-88,43,0.001
"cpd11574","Molybdate",-60.714746825397,-76,47,0.001
"cpd00244","Ni2+",-25.8652033982798,-86,43,0.001
"cpd00027","D-Glucose",-85.3294178145006,-6,38,0.001
